Ticker,Price,Perf 5Min,Perf Hour,Perf Day,Perf Week,Perf Month,Perf Year,Perf YTD
AUDUSD,0.69,0.03%,-0.07%,0.22%,1.29%,2.04%,-2.13%,-2.13%
USDJYP,108.982,-0.02%,0.06%,0.52%,-0.42%,-0.04%,-2.70%,-0.55%
EURUSD,1.1085,0,-0.07%,-0.42%,0.76%,2.32%,-4.42%,-3.35%
NZDUSD,0.6377,0,-0.01%,-0.15%,1.25%,2.45%,-5.20%,-5.10%
GBPUSD,1.2886,0.01%,0.01%,-0.04%,0.80%,5.24%,-5.59%,1.01%
USDCAD,1.3164,-0.01%,0.02%,-0.04%,0.62%,-0.54%,8.13%,-3.18%
USDCHF,0.9934,0,0.01%,0.47%,-0.89%,-1.10%,0.96%,0.98%
